case_id,main_analytic,issue_check_pass,attention_pass,major_party_identifier,intent,vignette,candidate_party,party_bloc,party_id_detail,ingroup3,state,sex,sex_num,age,edu,hincome,ideology,ft_rul,ft_opp,cm_1,cm_2,cm_3,cm_4,cm_5,cm_1_bin,cm_2_bin,cm_3_bin,cm_4_bin,cm_5_bin,conspiracy,conspiracy_z,conspiracy_full,conspiracy_additive,negative,enthusiasm,competent,sincere,trustworthy,undemocratic_perception
637,0,0,1,1,1,Court,ruling,opposition,Coalition,Out-group,QLD,male,1,20,1.5,0.7857142857142857,0.8333333333333334,0.29,0.72,15,5,4,3,3,0,1,1,0,0,,,-0.2263256867780284,2,0.5,0.5,0.5,0.25,0.75,0.25
638,1,1,0,0,2,Election,opposition,Independent,No party ID,Independent,NSW,female,0,32,0.5,0.7142857142857143,,0.49,0.5,15,3,3,3,3,0,0,0,0,0,-0.6538015661537888,-0.7211088822311932,-0.6825891916543231,0,0,0,0.5,0.5,0.5,0.5
639,1,1,1,0,3,Protests,opposition,Independent,No party ID,Independent,VIC,female,0,48,1.5,0.5714285714285714,0.5,0.68,0.49,15,3,2,2,2,0,0,0,0,0,-1.491352738013064,-1.644883955001211,-1.5308007381521964,0,0,0.5,0.25,0.75,0.5,0.5
640,1,1,0,0,2,Court,ruling,Independent,No party ID,Independent,SA,male,1,29,1.5,0.5,0.5,0.49,0.5,15,3,3,3,3,0,0,0,0,0,-0.6538015661537888,-0.7211088822311932,-0.6825891916543231,0,0.625,0.75,0.25,0.25,0.25,0.5
641,1,1,1,1,0,Protests,opposition,ruling,Labor,Out-group,SA,male,1,58,1,0.35714285714285715,0.16666666666666666,0.86,0.295,14,2,2,4,1,0,0,0,1,0,-1.4563568320847928,-1.6062853038002631,-1.478375988632579,1,0.25,0,0.5,0.5,0.5,0.75
642,0,0,1,1,2,Control,ruling,ruling,Labor,In-group,VIC,female,0,26,1,0.5714285714285714,0.5,0.73,0.4,16,4,3,3,4,1,1,0,0,1,,,-0.06648482243844296,3,0.125,0,0.75,0.5,0.5,0.5
643,0,0,1,0,2,Control,opposition,Independent,No party ID,Independent,NSW,male,1,55,1.5,0.9285714285714286,0.16666666666666666,0.57,0.35,16,4,4,3,2,1,1,1,0,0,,,-0.5822213649374542,3,0.25,0.25,0.5,0.5,1,0.25
644,1,1,1,0,0,Election,opposition,Independent,No party ID,Independent,QLD,female,0,37,1,0.5714285714285714,,0.49,0.5,17,4,3,3,5,1,1,0,0,1,0.4222968140217372,0.46577126653345874,0.4068473662994962,3,0.5,0,0,0,0,0.5
645,0,0,0,1,2,Court,ruling,opposition,Coalition,Out-group,NSW,male,1,57,1,0.21428571428571427,0.16666666666666666,0,0.755,17,5,2,5,5,1,1,0,1,1,,,1.0474295215925222,4,0,0,0.5,0.5,0.5,0.5
646,0,0,1,1,1,Election,ruling,opposition,Coalition,Out-group,VIC,male,1,62,1,0.5,0.5,0.41,0.66,16,4,2,2,2,1,1,0,0,0,,,-1.2579242121460283,2,0.375,0.25,0.25,0.5,0.5,0.25
647,0,0,1,0,2,Control,opposition,Independent,No party ID,Independent,VIC,female,0,49,0.5,0.5,,0.92,0.175,16,4,3,3,3,1,1,0,0,0,,,-0.40971266564815495,2,0,0.25,0.5,0.5,0.75,0.25
648,1,1,1,1,3,Election,ruling,ruling,Labor,In-group,NSW,male,1,19,1.5,0.9285714285714286,0.16666666666666666,0.98,0.615,16,4,4,4,4,1,1,1,1,1,0.4642967062915882,0.5120949478098947,0.43849888084971844,5,0.375,0.75,0.75,1,1,0.25
649,1,1,1,0,1,Protests,opposition,Independent,No party ID,Independent,WA,male,1,54,1.5,0.5,0.5,0.6,0.2,16,3,2,3,3,1,0,0,0,0,-0.7049381536529676,-0.7775098597779135,-0.7232039900465086,1,0.25,0,0.5,0.25,0.25,0.5
650,1,1,1,1,3,Protests,opposition,ruling,Labor,Out-group,SA,male,1,41,0.5,0.5,0.8333333333333334,0.77,0.255,16,4,2,4,4,1,1,0,1,1,0.10618656000649639,0.11711821377963598,0.09706059300889322,4,0,0.25,1,0.5,0.5,0.5
651,1,1,1,1,0,Court,ruling,opposition,Coalition,Out-group,QLD,male,1,64,1,0.42857142857142855,0.16666666666666666,0,0.84,16,4,3,3,3,1,1,0,0,0,-0.37325446556768693,-0.4116801249601232,-0.40971266564815495,2,0.5,0,0.5,0.5,0,1
652,0,0,1,1,2,Control,opposition,opposition,Coalition,In-group,NSW,male,1,31,1.5,0.7142857142857143,0.5,0.8,0.625,16,4,4,2,3,1,1,1,0,0,,,-0.5732580810954911,3,0.375,0.25,0.25,0.5,0.5,0.5
653,0,0,1,1,3,Protests,ruling,ruling,Labor,In-group,NSW,female,0,58,1,0.35714285714285715,,0.95,0.52,14,2,4,3,4,0,0,1,0,1,,,-0.4415187305303666,2,0,0.5,0.75,0.75,0.75,0.5
654,1,1,0,0,2,Election,opposition,Independent,No party ID,Independent,NSW,male,1,31,1,0.9285714285714286,0.5,0.74,0.575,15,3,3,3,3,0,0,0,0,0,-0.6538015661537888,-0.7211088822311932,-0.6825891916543231,0,0.25,0.25,0.75,0.5,0.5,0.25
655,1,1,1,0,2,Election,opposition,Independent,No party ID,Independent,QLD,male,1,48,1,0.8571428571428571,0.5,0.7,0,16,3,3,3,4,1,0,0,0,1,-0.19206668353739323,-0.21183949175019767,-0.20925700291638397,2,0,0,0.5,0.25,0.5,0.75
656,0,0,1,1,2,Control,ruling,ruling,Labor,In-group,WA,male,1,58,0.5,0.7142857142857143,0.5,0.84,0.26,16,4,3,3,3,1,1,0,0,0,,,-0.40971266564815495,2,0,0,0.75,1,1,0.25
657,1,1,1,0,2,Protests,ruling,Independent,No party ID,Independent,QLD,male,1,37,0.5,0.6428571428571429,,0.69,0.5,16,4,4,3,3,1,1,1,0,0,-0.19419939242514106,-0.21419175794499387,-0.23899352172774233,3,0,0,0.5,0.5,0.75,0.5
658,1,1,1,0,3,Protests,opposition,Independent,No party ID,Independent,SA,male,1,39,1,0.9285714285714286,0.5,0.5,0.5,16,4,1,1,2,1,1,0,0,0,-1.7145404123132086,-1.8910482694875725,-1.7629079154341898,2,0,0,0.75,0.75,0.5,0.5
659,1,1,0,1,2,Election,ruling,ruling,Labor,In-group,QLD,male,1,23,1.5,0.42857142857142855,0.5,0.9,0.72,14,3,5,2,2,0,0,1,0,0,-1.0821060042287933,-1.1935062434242318,-1.1487476519191857,1,0,0,0.5,0.75,0.75,0.25
660,1,1,1,1,1,Court,ruling,ruling,Labor,In-group,ACT,male,1,24,1,0.7857142857142857,0.16666666666666666,0.86,0.25,16,4,4,4,4,1,1,1,1,1,0.4642967062915882,0.5120949478098947,0.43849888084971844,5,0.5,0.5,0.75,0.75,0.25,0.25
661,1,1,1,1,2,Protests,opposition,ruling,Labor,Out-group,VIC,female,0,60,0.5,0.35714285714285715,,1,0.665,14,5,5,5,5,0,1,1,1,1,1.1986395218068642,1.3220366094457559,1.1692739167690787,4,0,0,0.5,1,0.25,0.25
662,1,1,1,1,4,Control,opposition,opposition,Coalition,In-group,QLD,female,0,48,1,0.35714285714285715,0.16666666666666666,0,1,16,4,5,4,4,1,1,1,1,1,0.6433517794341341,0.7095833148250241,0.6092180247701311,5,0,0.25,1,1,1,0
663,0,0,1,0,3,Control,ruling,Independent,No party ID,Independent,VIC,male,1,62,1,0.5714285714285714,0.6666666666666666,0.85,0.51,16,2,4,3,2,1,0,1,0,0,,,-0.8677657258933363,2,0,0.5,0.75,1,0.75,0.25
664,1,1,1,0,2,Election,opposition,Independent,Greens,Independent,NSW,female,0,38,1.5,0.9285714285714286,0.5,0.49,0,17,5,5,3,4,1,1,1,0,1,0.5992191782765351,0.6609073673537917,0.5478299914085504,4,0.25,0.75,1,1,1,0
665,1,1,0,0,4,Court,ruling,Independent,No party ID,Independent,QLD,male,1,63,1,0.42857142857142855,0.5,0.11,0.55,17,5,4,5,5,1,1,1,1,1,1.4033399055944191,1.547810410835853,1.3888678094333475,5,0,0.75,1,1,1,0
666,0,0,0,0,2,Control,ruling,Independent,No party ID,Independent,NSW,male,1,14,1,0.5714285714285714,0.8333333333333334,0.76,0.75,16,5,4,4,2,1,1,1,1,0,,,-0.10518462509176449,4,0.375,0.25,0.5,0.5,0.5,0.75
667,0,0,1,1,2,Court,opposition,opposition,Coalition,In-group,VIC,female,0,56,0,0.6428571428571429,0.5,0,0.7,16,5,4,4,4,1,1,1,1,1,,,0.5812710613276595,5,0,0,0.5,0.5,0.5,0.5
668,0,0,1,0,2,Control,ruling,Independent,No party ID,Independent,VIC,female,0,30,1.5,0.7857142857142857,0,0.48,0,15,5,3,3,2,0,1,0,0,0,,,-0.740272673908153,1,0,0,0.5,0.5,0.5,0.5
669,1,1,1,1,3,Protests,ruling,ruling,Labor,In-group,NSW,female,0,63,1.5,0.6428571428571429,0.3333333333333333,0.68,0.175,17,4,2,3,2,1,1,0,0,0,-0.7582074500398945,-0.8362631035194303,-0.7935553072500524,2,0.25,0.5,0.5,0.75,0.5,0.5
670,1,1,1,0,1,Court,opposition,Independent,One Nation,Independent,QLD,female,0,32,1.5,0.7142857142857143,0.3333333333333333,0,0.12,17,5,5,3,3,1,1,1,0,0,0.26540278130350664,0.29272536634120533,0.20460214819883843,3,0.5,0.25,0.5,0.5,0.5,0.75
671,1,1,1,0,2,Control,ruling,Independent,No party ID,Independent,NSW,female,0,11,0.5,0.35714285714285715,,0.44,0.53,14,2,2,2,3,0,0,0,0,0,-1.438083441626137,-1.586130711259694,-1.4604494209486525,0,0.25,0.25,0.5,0.75,0.5,0.5
672,0,0,0,0,2,Election,ruling,Independent,No party ID,Independent,QLD,female,0,2,0.5,0.14285714285714285,0.16666666666666666,0,0.76,16,4,4,4,4,1,1,1,1,1,,,0.43849888084971844,5,0.5,0.5,0.5,0.5,0.5,0.5
673,1,1,0,0,2,Court,opposition,Independent,No party ID,Independent,TAS,male,1,37,0.5,0.5,,0,0.31,16,5,2,3,4,1,1,0,0,1,-0.06586452679446951,-0.07264512316000521,-0.09443178588091457,3,0,0,0.5,0.5,0.25,0.75
674,1,1,0,0,4,Protests,opposition,Independent,No party ID,Independent,QLD,female,0,32,1,0.42857142857142855,0.6666666666666666,0.66,0.97,14,2,4,4,2,0,0,1,1,0,-0.7644302888266725,-0.843126568757418,-0.7937098575820417,2,0.5,0,0.25,0.75,0,0.75
675,1,1,1,1,2,Control,opposition,opposition,Coalition,In-group,TAS,female,0,39,0.5,0.7857142857142857,0.16666666666666666,0,0.575,17,5,4,4,3,1,1,1,1,0,0.41102740990466136,0.453341704068378,0.3681475636461747,4,0,0,0.25,0.25,0.25,0.75
676,0,0,0,1,1,Court,ruling,opposition,Coalition,Out-group,QLD,male,1,21,1.5,0.9285714285714286,0.5,0.81,0.41,14,4,3,4,3,0,1,0,1,0,,,-0.3356567973368603,2,0.625,0.5,0.5,0.75,0.5,0.5
677,1,1,1,0,2,Court,opposition,Independent,No party ID,Independent,QLD,female,0,63,0.5,0.2857142857142857,,0.83,0.58,16,4,3,3,3,1,1,0,0,0,-0.37325446556768693,-0.4116801249601232,-0.40971266564815495,2,0.375,0.25,0.5,0.5,0.25,0.5
678,1,1,1,0,2,Control,ruling,Independent,No party ID,Independent,VIC,female,0,28,1.5,0.7142857142857143,0.5,0.84,0.665,16,4,3,3,3,1,1,0,0,0,-0.37325446556768693,-0.4116801249601232,-0.40971266564815495,2,0,0.25,0.75,0.75,0.75,0.5
679,0,0,1,1,1,Protests,ruling,ruling,Labor,In-group,WA,female,0,44,1,0.7857142857142857,0.5,0.79,0.96,16,4,4,4,4,1,1,1,1,1,,,0.43849888084971844,5,0.625,0.5,1,1,1,0
680,0,0,1,0,2,Court,ruling,Independent,No party ID,Independent,NSW,female,0,40,0.5,0.21428571428571427,0.6666666666666666,0.74,0.5,15,3,3,4,4,0,0,0,1,1,,,-0.00509678907686232,2,0.25,0.5,0.75,0.25,0.75,0.25
681,0,0,0,1,2,Election,opposition,opposition,Coalition,In-group,SA,male,1,64,1.5,0.7857142857142857,0.3333333333333333,0.49,0.42,17,4,3,4,5,1,1,0,1,1,,,0.7411119256672449,4,0.125,0,0.25,0.5,0.5,0.5
682,1,1,1,1,0,Election,ruling,ruling,Labor,In-group,TAS,female,0,27,1.5,0.6428571428571429,0.5,0.87,0.59,15,4,3,3,4,0,1,0,0,1,-0.1673565542380254,-0.18458551341594565,-0.19658916796667006,2,0.75,0,0,0.25,0,1
683,0,0,1,1,2,Control,opposition,opposition,Coalition,In-group,QLD,male,1,62,0.5,0.7142857142857143,0.8333333333333334,0.15,0.75,17,5,3,4,5,1,1,0,1,1,,,0.883884106145186,4,0.25,0.25,0.75,0.5,0.5,0.25
684,1,1,1,1,3,Election,opposition,opposition,Coalition,In-group,QLD,female,0,64,1,0.35714285714285715,0.8333333333333334,0,0.8,16,4,4,4,4,1,1,1,1,1,0.4642967062915882,0.5120949478098947,0.43849888084971844,5,0,0.5,0.75,0.75,0.75,0.25
685,0,0,1,0,2,Court,opposition,Independent,No party ID,Independent,VIC,female,0,64,0.5,0.35714285714285715,0.16666666666666666,0.29,0.545,16,4,3,3,4,1,1,0,0,1,,,-0.06648482243844296,3,0.25,0.5,0.75,0.25,0.5,0.5
686,0,0,1,1,3,Protests,ruling,ruling,Labor,In-group,QLD,female,0,38,0.5,0.2857142857142857,,0.85,0,13,4,4,3,4,0,1,1,0,1,,,-0.2860787151027117,3,0.375,0.75,0,0,0,1
687,0,0,1,0,2,Court,ruling,Independent,No party ID,Independent,VIC,female,0,29,1.5,0.8571428571428571,0.5,0.19,0.365,14,3,2,3,2,0,0,0,0,0,,,-1.3266405243126747,0,0.625,0.5,0.25,0.25,0.75,0.5
688,1,1,0,0,1,Election,ruling,Independent,No party ID,Independent,NSW,male,1,34,1.5,0.7142857142857143,0.3333333333333333,0.82,0.38,16,3,2,2,2,1,0,0,0,0,-1.363434252369697,-1.503796565532802,-1.4006963926239693,1,0.5,0,0.5,0.25,0.25,0.5
689,1,1,0,0,1,Protests,opposition,Independent,No party ID,Independent,SA,male,1,46,0.5,0.5,,1,0,14,4,2,2,2,0,1,0,0,0,-1.4666426087136961,-1.6176299766669588,-1.5181329032024826,1,0,0.5,1,1,1,0
690,0,0,1,0,3,Control,opposition,Independent,No party ID,Independent,QLD,male,1,62,1,0.6428571428571429,0.5,0.69,0.5,17,1,1,2,5,1,0,0,0,1,,,-0.6971720223429011,2,0.5,0.5,0.5,0.75,0.75,0.5
691,0,0,1,1,3,Court,ruling,ruling,Labor,In-group,SA,female,0,64,0.5,0.5,,1,0.25,17,4,4,3,3,1,1,1,0,0,,,-0.10888917619951521,3,0.25,0,0.75,0.5,0.25,0.5
692,1,1,1,0,0,Control,ruling,Independent,One Nation,Independent,QLD,female,0,39,0,0.21428571428571427,,0,0,17,5,5,5,5,1,1,1,1,1,1.582394978736965,1.7452987778509825,1.55958695335376,5,1,0,1,0,0,1
693,1,1,0,0,1,Protests,opposition,Independent,No party ID,Independent,NSW,male,1,50,1.5,0.6428571428571429,0.3333333333333333,0.79,0.165,16,4,2,2,3,1,1,0,0,0,-0.8769892404539334,-0.9672731967175546,-0.9146963689363165,2,0.25,0,0.25,0.25,0,1
694,1,1,1,0,4,Protests,opposition,Independent,No party ID,Independent,VIC,female,0,15,1,0.9285714285714286,0.16666666666666666,0.8,0.45,17,5,4,3,4,1,1,1,0,1,0.4201641051339893,0.46341900033866246,0.3771108474881378,4,0,0.25,0.75,1,0.75,0.25
